segment_id,category,label,location,kind,duration,wk_z_rms,wd_xy_rms,iso_total,oct_1.00Hz,oct_1.25Hz,oct_1.60Hz,oct_2.00Hz,oct_2.50Hz,oct_3.15Hz,oct_4.00Hz,oct_5.00Hz,oct_6.30Hz,oct_8.00Hz,oct_10.00Hz,oct_12.50Hz,oct_16.00Hz,oct_20.00Hz,oct_25.00Hz,oct_31.50Hz,oct_40.00Hz,oct_50.00Hz
clean_bgnd_000,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,4.808,0.008642515524677567,0.00714450081077093,0.013218891882117103,0.0013287976056932562,0.0015076354938315972,0.0022697245155662766,0.0017157513993538514,0.0011156640413776536,0.0009415337868026293,0.002842606462569846,0.002682095768198235,0.0028910224794685383,0.0034077965955475334,0.003964450453387937,0.004661660351250473,0.005685404718606287,0.005835578000556571,0.005272113203368886,0.00592970752766782,0.007419062700553374,
clean_bgnd_001,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,15.021,0.007318337356346398,0.007118566921039627,0.012364428489807427,0.0009085896344088703,0.0010305298124598198,0.0011410953215562547,0.0009531350378194075,0.001852047661844984,0.0016802557866546356,0.0016819982058399864,0.00217456999972175,0.0025195748619320393,0.0030687029008766476,0.0031027550789658326,0.0033411435520489057,0.004182700656838894,0.0048338094562078516,0.0049152877367554144,0.005944840398881479,0.006940690767387334,
clean_bgnd_002,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,11.242,0.006978525627235071,0.006865450174840558,0.011877847275170885,0.0007650901210823632,0.0007286346883201878,0.001012062134377936,0.0014361022588644933,0.0013863241359202616,0.0014194684934855802,0.0017869696120042056,0.0023271067883075896,0.0025767169444674827,0.0029310418301969738,0.0031878530890367598,0.0038116916951382537,0.0037531440678382384,0.004362234491101109,0.005273946628156504,0.006163415441392172,0.006640887068557305,
train_pass_003,train_pass_service_desk,过车,服务台,train_pass,8.865,0.008357803836716853,0.008378402688093568,0.014402785942885906,0.00031019318133055425,0.0014079798986810351,0.0010470808440551584,0.0018079601412254096,0.0030119754608565496,0.0021885818368000336,0.0018393842447320503,0.002202487150240006,0.0026369534790335386,0.002777287588536212,0.003870182448016058,0.004161140668943491,0.003991160665456709,0.005630340530622565,0.005538427073959471,0.006220549779676484,0.008196929181115415,
train_pass_004,train_pass_service_desk,过车,服务台,train_pass,5.814,0.007622413238423203,0.00912010778078033,0.014870334925820168,0.000260362405062155,0.0013016453938457183,0.0035569899332075733,0.0019561002900231124,0.0025032179857928175,0.003341093341258055,0.0025162997097117217,0.002779050409735151,0.0031672639954699127,0.0032697343015825344,0.0037993028439679303,0.003953006495758599,0.003946596852743256,0.006189373306343845,0.006072961422118464,0.007141815556209183,0.009285702252239446,
clean_bgnd_005,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,6.976,0.006284794585101498,0.006879793563654859,0.011500804300343281,0.0008112885882837283,0.00044202990725980535,0.0006711955577838832,0.0013136765066442454,0.0013700534456036208,0.001948420848163568,0.0021588724165634713,0.0015974601239930977,0.0023291573542489636,0.002572937674532532,0.0026575614454364817,0.003243903824255346,0.003700937333333284,0.0038111768196079383,0.00519836394271375,0.005167580665867545,0.007371451663507995,
clean_bgnd_006,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,14.244,0.008990509775715212,0.007367221149447708,0.01368247503408558,0.0006694513896266464,0.0017699519024699743,0.0011550108739843078,0.0019354715250506811,0.002112221471829364,0.0019571750425069027,0.002530806249412227,0.002721342568528186,0.0030076830972228805,0.0035835832064046954,0.00398001344583644,0.0038233266081339765,0.004792156214702712,0.005188477705355434,0.005984889088394382,0.007169764912396636,0.006978247492231294,
clean_bgnd_007,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,34.634,0.006830549333418406,0.00718260714849975,0.012156171324789515,0.0008560025795949557,0.0009829585114311597,0.0011306915126297998,0.001173201707612339,0.0014418968447357271,0.0014702566693550454,0.001882075915026287,0.0022535971373781436,0.0025590817662894463,0.0027251379515664267,0.0033726158568927215,0.0038097549623736645,0.004183064226750756,0.004526275178355728,0.005117423745612276,0.006312752447016236,0.007144792809855582,
train_pass_008,train_pass_service_desk,过车,服务台,train_pass,8.858,0.00739324285790238,0.01037226521253486,0.016294921166077475,0.0012195121399271604,0.0016667779323679356,0.0009739349732629472,0.0016521949154677533,0.0013874433033875654,0.003416616100699167,0.002425691636212406,0.0021257437526671272,0.0021597023918799915,0.0038525382944194692,0.004312504853530333,0.003701436378337135,0.004424645235057462,0.0048734651360780755,0.005593553532425374,0.007677447645052781,0.007102343636154176,
clean_bgnd_009,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,18.361,0.006731621373206682,0.006835197966272319,0.011699820149855046,0.0008355172796921978,0.0006970696862563084,0.0013273168727658835,0.0012341893609504996,0.0015576229639728998,0.0015766457983957484,0.0016906618893407935,0.0019453484430845794,0.0021431215687928037,0.0029549128977141284,0.0031334846421300347,0.00310766005453499,0.003993907825768394,0.004444799211333637,0.005455146243589743,0.006281748537003001,0.006976244833956286,
clean_bgnd_010,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,32.89,0.0069277348813505295,0.007200124131481279,0.012231247446741044,0.0008124830942669845,0.0009050626414209725,0.0014607872959208246,0.001524359105968566,0.0015928246948903688,0.0015825460185865917,0.0017940137893121633,0.0023739883575778172,0.0026414288493086698,0.0027986527520933954,0.0032996699102500085,0.0034193812785223232,0.003926926922935583,0.004360682672977593,0.005432930617334427,0.0063059854712880494,0.0069439914285159676,
train_pass_011,train_pass_service_desk,过车,服务台,train_pass,7.208,0.008723833545729684,0.00888677146542582,0.015195252469368956,0.0010749139073513248,0.0007571973483230214,0.0007763571959439079,0.001748541277606873,0.0017210147810990913,0.002024856285393014,0.0034149640437049957,0.0022428166438411144,0.0025988504180190566,0.0029373725716344713,0.004587128101190441,0.004764329975511216,0.005368613899635441,0.005622651741975542,0.006128504593005907,0.007454060918071432,0.008345515846806312,
