scene_id,scene_type,scene_desc,source_xls,duration_sec,peak,rms,mean,std,lin_peak,lin_rms,dominant_freq,pwr_0_5hz,pwr_5_15hz,pwr_15_30hz,pwr_30plus,npz_path
scene_01_platform,platform,站台(候车),g (15).xls,75.97363052600001,0.12501666675752984,0.03823776851795392,0.03449214648247055,0.01650511351867725,0.12501666675752984,0.03823776851795392,43.112226562500005,2.1984262136961224e-05,4.895885931084861e-05,7.407860202575606e-05,0.00011399572373216729,D:\projects\vib\analysis\events\scene_01_platform.npz
scene_02_platform,platform,站台(靠近轨道/上车),g (16).xls,93.92201891900001,0.1102104577983335,0.0383560343558061,0.03480010712812383,0.01612879150385679,0.1102104577983335,0.0383560343558061,46.2194140625,1.925957744149206e-05,4.309421970240944e-05,7.233198715029493e-05,0.00011866412255723164,D:\projects\vib\analysis\events\scene_02_platform.npz
scene_03_subway_onboard,subway_onboard,地铁车内(出发),g (17)地铁数据_杭州西站出发.xls,206.02952227800003,0.8564903178579218,0.17127160180703044,0.1455730864213147,0.09023545919048917,0.8564903178579218,0.17127160180703044,48.161406250000006,0.0010328013781978377,0.001283412360447773,0.0014886296656260124,0.002594157485535003,D:\projects\vib\analysis\events\scene_03_subway_onboard.npz
scene_04_subway_onboard,subway_onboard,地铁车内(到站),g (18)地铁数据_到海创园.xls,156.67522015100002,3.152595216943375,0.1933990454073547,0.15872602706791772,0.11049542567776595,3.152595216943375,0.1933990454073547,1.1651953125,0.0020253786922321783,0.0019660818542657425,0.0019870498660765705,0.0038060719719646362,D:\projects\vib\analysis\events\scene_04_subway_onboard.npz
baseline_05_service_desk,baseline_service_desk,服务台本底,g (1).xls,10.0,0.09776666253210822,0.036369405696466746,0.03306677298471236,0.015143387834024616,0.09776666253210822,0.036369405696466746,46.2194140625,1.668651078663559e-05,4.2761236427228326e-05,6.24763738713376e-05,0.00010771873359732602,D:\projects\vib\analysis\events\baseline_05_service_desk.npz
baseline_06_service_desk,baseline_service_desk,服务台本底,g (5).xls,10.0,0.11756274753025095,0.0359321413533819,0.03234451323356931,0.015650918373145962,0.11756274753025095,0.0359321413533819,32.62546875,2.5527732330903782e-05,5.152905535914426e-05,7.271354171954202e-05,0.00010135378596779214,D:\projects\vib\analysis\events\baseline_06_service_desk.npz
baseline_07_service_desk,baseline_service_desk,服务台本底,g (9).xls,10.0,0.18721040260148566,0.0383183727784158,0.034093398547366364,0.017491079665820364,0.18721040260148566,0.0383183727784158,0.3883984375,3.395832286015376e-05,4.066318498153262e-05,8.036716633462215e-05,0.00010928182828314883,D:\projects\vib\analysis\events\baseline_07_service_desk.npz
baseline_08_ground_floor,baseline_ground_floor,地面本底,g (10).xls,10.0,0.0876962141379411,0.03517032463664852,0.03157532321176074,0.01549034212404908,0.0876962141379411,0.03517032463664852,31.071875000000002,1.265206735513815e-05,4.192603170232009e-05,7.107528573447248e-05,0.0001058547172701208,D:\projects\vib\analysis\events\baseline_08_ground_floor.npz
baseline_09_ground_floor,baseline_ground_floor,地面本底,g (12).xls,10.0,0.09265283175306836,0.036576553059904066,0.033045826703655454,0.01567857044554604,0.09265283175306836,0.036576553059904066,47.384609375000004,2.3545868340756882e-05,3.988983563297106e-05,6.39899063414362e-05,0.00011207390189080153,D:\projects\vib\analysis\events\baseline_09_ground_floor.npz
baseline_10_platform,baseline_platform,站台本底,g (15).xls,10.0,0.09469520322729076,0.03528990234808589,0.03160196785206922,0.01570645840456154,0.09469520322729076,0.03528990234808589,33.402265625000005,2.343752981340057e-05,4.1143940852513644e-05,6.991631988974104e-05,0.00010543354067115713,D:\projects\vib\analysis\events\baseline_10_platform.npz
baseline_11_subway_onboard,baseline_subway_onboard,地铁车内本底,g (17)地铁数据_杭州西站出发.xls,10.0,0.45743780611952584,0.09187404105155503,0.07929437531214983,0.04640303290732988,0.45743780611952584,0.09187404105155503,48.161406250000006,0.0003058855009531364,0.0001298443785120642,0.00022095553089698818,0.0008281876477936904,D:\projects\vib\analysis\events\baseline_11_subway_onboard.npz
