tag,type,label,location,location_desc,audio,xls,abs_start,abs_end,duration,vib_start_sec,vib_end_sec,rms_centered,rms_raw,peak,peak_centered,dom_freq,peak_mean_ratio,pwr_0_5hz,pwr_5_15hz,pwr_15_30hz,pwr_30_50hz,rms_x,rms_y,rms_z,npz_path
clean_bgnd_000,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (1).xls,20:03:27,20:03:31,4.808,58.538,63.346,0.017531571687719086,0.03914940996851833,0.11158622751108527,0.07658165216668937,12.42875,3.73978278221307,2.2900679841744506e-05,5.853558682154667e-05,8.263886396830318e-05,9.707388024375362e-05,0.01187485844384355,0.009937476959619366,0.021654073848812915,D:\projects\vib\analysis\events\clean_clean_bgnd_000.npz
clean_bgnd_001,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (1).xls,20:04:32,20:04:47,15.021,123.842,138.863,0.015322903763704147,0.03632894713815269,0.08800671079171592,0.0550673571184127,30.295078125000003,1.8028766422021265,1.812038813698593e-05,3.850967874165118e-05,7.171276713333637e-05,9.835237301256628e-05,0.011158103624006042,0.010529765948178739,0.01955589678718762,D:\projects\vib\analysis\events\clean_clean_bgnd_001.npz
clean_bgnd_002,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (1).xls,20:06:10,20:06:21,11.242,221.432,232.675,0.01511268890218016,0.035903127313198946,0.08852235194569913,0.05595486532155675,24.080703125000003,2.303841055440589,1.597777360328393e-05,4.816353010307642e-05,6.796860742806311e-05,9.532440642545118e-05,0.010930337193891247,0.010242103068914366,0.01897359748256944,D:\projects\vib\analysis\events\clean_clean_bgnd_002.npz
train_pass_003,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (1).xls,20:06:50,20:06:59,8.865,262.185,271.05,0.018136572307089368,0.04379246661762432,0.11002727680745877,0.07016695973138096,46.2194140625,5.111005560821845,3.420644149844754e-05,5.744263342885445e-05,8.716787146266925e-05,0.00016470112348450158,0.01710521197668602,0.017779113040435387,0.025559210156390642,D:\projects\vib\analysis\events\clean_train_pass_003.npz
train_pass_004,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (3).xls,20:15:15,20:15:21,5.814,9.068,14.882,0.01978436621378858,0.045894654033865084,0.11500316052147735,0.07359183209063769,42.3354296875,6.560100493561622,7.402303007099987e-05,5.759883973044087e-05,9.908151792292621e-05,0.00016395242420890293,0.02427329910786471,0.014598550588727525,0.02501519066094443,D:\projects\vib\analysis\events\clean_train_pass_004.npz
clean_bgnd_005,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (3).xls,20:15:24,20:15:31,6.976,17.627,24.603,0.014645198590023162,0.03533932665895247,0.08617768233454239,0.05401580790274142,37.28625,2.638503322922128,1.8624430145350165e-05,3.3807472003385206e-05,5.7159603580667874e-05,9.913000272370785e-05,0.011832883826587728,0.009836373051816678,0.018047981064189967,D:\projects\vib\analysis\events\clean_clean_bgnd_005.npz
clean_bgnd_006,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (3).xls,20:15:39,20:15:53,14.244,32.743,46.986,0.01742273410000177,0.038240609504359105,0.11054070398940141,0.07649966182342895,29.51828125,2.1089340667123544,2.8856713888242476e-05,6.317118258442942e-05,8.853863960864784e-05,0.00010836614898585422,0.011408373412194748,0.010501401445968117,0.02268565292391085,D:\projects\vib\analysis\events\clean_clean_bgnd_006.npz
clean_bgnd_007,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (4).xls,20:17:22,20:17:56,34.634,51.686,86.32,0.0155295683171137,0.037063228899271265,0.10266772556674457,0.06901485875983085,38.83984375,1.612116768865195,1.667731094118555e-05,4.716651100379946e-05,6.83981535149314e-05,0.00010505681179497174,0.011179069119639196,0.010656471949576212,0.01913611907721389,D:\projects\vib\analysis\events\clean_clean_bgnd_007.npz
train_pass_008,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (4).xls,20:18:28,20:18:37,8.858,118.127,126.985,0.018970752868503273,0.04705143775660216,0.12599010157875798,0.08293260129639624,33.7906640625,7.1106249323554405,5.31758131427047e-05,6.112090394235804e-05,8.075606129760425e-05,0.00015490301702131105,0.026479112848110813,0.01897245252796246,0.021704060691271034,D:\projects\vib\analysis\events\clean_train_pass_008.npz
clean_bgnd_009,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (5).xls,20:19:36,20:19:55,18.361,40.128,58.489,0.015278744173975406,0.03606127078485228,0.09171869345592583,0.05905410671302254,44.277421875,2.3683325199168728,1.6280983229787407e-05,3.8660464752143195e-05,6.648731556465679e-05,0.00010373801718702596,0.010911563462228071,0.01035754130925083,0.018961145490690483,D:\projects\vib\analysis\events\clean_clean_bgnd_009.npz
clean_bgnd_010,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (5).xls,20:20:30,20:21:03,32.89,93.614,126.504,0.015494921948261957,0.035750099073674525,0.12439492631468384,0.0921772762204449,45.831015625000006,1.557180307565748,1.9607599943030995e-05,4.1992542345875946e-05,6.787922800243546e-05,0.00010489086213545816,0.011286212112252302,0.010543085215815035,0.019446677754766644,D:\projects\vib\analysis\events\clean_clean_bgnd_010.npz
train_pass_011,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (5).xls,20:22:00,20:22:07,7.208,183.599,190.806,0.0205612393682413,0.046046485001158474,0.1299073940999666,0.0887064934228722,0.3883984375,4.195098666543404,4.517154694661863e-05,6.759896803772593e-05,0.00011319062070834126,0.0001584172986262267,0.018822308116721777,0.01844685322494125,0.027063351176871468,D:\projects\vib\analysis\events\clean_train_pass_011.npz
clean_bgnd_012,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (6).xls,20:23:26,20:23:49,22.721,10.61,33.331,0.015504774744273512,0.036543659946974935,0.09265817899054224,0.05956677463156289,34.955859375,1.7731435063063175,2.1059191950612397e-05,4.285719275308071e-05,6.718453437983139e-05,0.00010135352336081491,0.011196853540093612,0.010531377586540902,0.019696755999382583,D:\projects\vib\analysis\events\clean_clean_bgnd_012.npz
